开户：(可以选择其中1-2个进行查询操作，检查挂失/解挂的操作。)
2020130027,汪笑天(3132578);
2020281369,彭寒凡(3145114);
2020290372,孔惜海(3146221);
2020300453,廖以寒(3147356);
2020300482,赖力(3147383);
2020331347,邓妙筠(3151045);
2020331644,范忆翠(3151342);
2020680337,石秋柳(3180836);
2020690956,贾令红(3181808);
2020740439,贺觅双(3183734);
2020750553,许朗(3184904);
2020770986,阎姝(3186731);
2020780761,叶潜香(3187569);
2020831694,朱若(3194796);
2020860353,韩巧荷(3198701);
2020870592,罗南春(3199999);
2020880588,白莉(3201030);
2020890996,罗童(3202499);
挂失后未进行解挂和销户的学号：(后续无法进行其他操作，包括食堂消费。后续可以查询消费记录中有无这些学号/卡号的消费记录。)
未解挂,2020550050(卡号3166904);
未解挂,2020590212(卡号3171962);
未解挂,2020901609(卡号3204154);
未解挂,2020561706(卡号3170657);
未解挂,2020551442(卡号3168290);
销户,2020461497(卡号3162043);
销户,2020280258(卡号3144007);
销户,2020290017(卡号3145862);
销户,2020850028(卡号3196271);
销户,2020261019(卡号3143369);
首次充值：
2020130027(3132578),650;
2020281369(3145114),850;
2020290372(3146221),850;
2020300453(3147356),900;
2020300482(3147383),850;
2020331347(3151045),650;
2020331644(3151342),600;
2020680337(3180836),600;
2020690956(3181808),750;
2020740439(3183734),800;
2020750553(3184904),900;
2020770986(3186731),700;
2020780761(3187569),600;
2020831694(3194796),750;
2020860353(3198701),750;
2020870592(3199999),600;
2020880588(3201030),800;
2020890996(3202499),750;
多次补卡：(后续可以使用这些学号/卡号来查询是否有正确的消费操作记录。)
2020230295(3140894--3205649);
2020490846(3164195--3206648);
2020410253(3156608--3207647);
2020340714(3152512--3208646);
2020561128(3170071--3209645);
中间的4次充值：(如果有充值超额的情况，则需要检查这些同学的最后的余额是否正确。)
(5-2)2020130027(3132578),600;
(5-2)2020281369(3145114),750;
(5-2)2020290372(3146221),700;
(5-2)2020300453(3147356),600;
(5-2)2020300482(3147383),700;
(5-2)2020331347(3151045),700;
(5-2)2020331644(3151342),800;
(5-2)2020680337(3180836),800;
(5-2)2020690956(3181808),650;
(5-2)2020740439(3183734),600;
(5-2)2020750553(3184904),700;
(5-2)2020770986(3186731),700;
(5-2)2020780761(3187569),700;
(5-2)2020831694(3194796),700;
(5-2)2020860353(3198701),800;
(5-2)2020870592(3199999),750;
(5-2)2020880588(3201030),750;
(5-2)2020890996(3202499),700;
(5-3)2020130027(3132578),700;
(5-3)2020281369(3145114),650;
(5-3)2020290372(3146221),600;
(5-3)2020300453(3147356),850;
(5-3)2020300482(3147383),900;
(5-3)2020331347(3151045),700;
(5-3)2020331644(3151342),750;
(5-3)2020680337(3180836),650;
(5-3)2020690956(3181808),700;
(5-3)2020740439(3183734),700;
(5-3)2020750553(3184904),850;
(5-3)2020770986(3186731),650;
(5-3)2020780761(3187569),700;
(5-3)2020831694(3194796),750;
(5-3)2020860353(3198701),850;
(5-3)2020870592(3199999),800;
(5-3)2020880588(3201030),600;
(5-3)2020890996(3202499),900;
(5-4)2020130027(3132578),900;
(5-4)2020281369(3145114),900;
(5-4)2020290372(3146221),750;
(5-4)2020300453(3147356),800;
